Task,Answer,a,b,c,d,comment,topic,level,tags,deck
It is difficult but I have to _______ a decision.,4,do,get,achieve,make,We say 'to make a decision' or 'to take a decision'.,confusing words,2, 887 ,1200 Grammer Tests
Paris ____ (to forget) Matt's name ____ when she made a wedding guest list.,2,did / without,left / out,broke / out,took / off,"Phrasal verb 'to leave out' means 'to fail to mention, to forget'.",phrasal verbs,2, 888 ,1200 Grammer Tests
Choose two forms of the verb 'to speed' according to the order: Past Simple - Past Participle,2,speeded - speeded,sped - sped,spet - spet,spode - spoden,TO SPEED - SPED - SPED,irragular verbs,2, 889 ,1200 Grammer Tests
"_________ Andy Murray showed a massive dominance in the first two sets, he surprisingly lost the whole game.",3,Due to,Moreover,Whilst,For this reason,"When we want to show a conflict between the main clause and the statement in the subordinate clause we can use 'although (and its synonyms), while, whilst or whereas'. Note that 'while' and 'whilst' are used mostly in formal contexts. Other given linking words do not relate to the meaning of the sentence.",linking words,2, 890 ,1200 Grammer Tests
The journalist called the party's election tactics _______ . But unfortunately many voters trusted it.,4,blissful,content,precise,deceitful,Deceitful means 'dishonest. Someone who tries to make everyone believe in what is not true'.,adjective,2, 891 ,1200 Grammer Tests
"The summer is coming, so it’s important to know how to get tanned _____ .",1,safely,likely,truly,cowardly,Safely means 'free from harm or danger'.,adverbs,2, 892 ,1200 Grammer Tests
I think the team really deserves _______ (to win) the game.,4,won,winning,wins,to win,Deserve requires the Infinitive. We cannot use the Gerund with this verb.,gerunds and infinitives,2, 893 ,1200 Grammer Tests
I  feel a need ____some changes in life.,3,of,to,for,in,We should remember that some nouns are used with specific prepositions after them: 'need for'.,noun pluse preposition,2, 894 ,1200 Grammer Tests
He got married ____ the age ___ 35.,2,on/of,at/of,in/for,by/over,It is correct to say 'at the age of'.,prepositions,2, 895 ,1200 Grammer Tests
Mrs. Whirpool is always nice ___ us.,3,of,with,to,for,We should remember that some adjectives are used with specific prepositions after them: 'nice to'.,adjective pluse preposition,2, 896 ,1200 Grammer Tests
His scientific study is called 'Rare _________ (plural of phenomenon) of nature'.,1,phenomena,phenomenae,phenomenon,phenomenons,The noun 'phenomenon' has the irregular plural form: PHENOMENON - PHENOMENA,nouns,2, 897 ,1200 Grammer Tests
I haven't seen my elder sister for _________ years.,4,much,little,every,many,Many is used before plural countable nouns. 'Little' and 'much' - before uncountable nouns. 'Every' doesn't relate to the meaning.,"some,any, a lot of , many , much ,etc..",2, 898 ,1200 Grammer Tests
Express disappointment with the present situation: Nigel has to get up early every morning. He doesn't like it.,1,Nigel wishes he didn't have to get up early every morning.,Nigel would get up early every morning if he liked it.,If only Nigel got up early every morning he would like it.,Nigel would like to get up early every morning if he had to.,To express disappointment with the present situation we usually use the construction [ I + wish + Past Simple]. Other answers do not relate to the meaning.,exprssing hypothetical meaninig,2, 899 ,1200 Grammer Tests
Use a prefix to make a word negative: perfect,3,unperfect,inperfect,imperfect,disperfect,We say 'perfect - imperfect',word formation,2, 900 ,1200 Grammer Tests
Choose the sentence with the right word order,4,My uncle is a tall dark-eyed middle-aged  man.,My uncle is a dark-eyed tall middle-aged  man.,My uncle is a middle-aged tall dark-eyed man.,My uncle is a tall middle-aged dark-eyed man.,"There is a certain word order in statements with the Past Simple Tense: Subject - Verb - Object. When we need to use many adjectives in one sentence, they should be placed in the following order: Opinion - Size - Age - Shape - Colour - Origin - Material. 'Tall' is a size, 'middle-aged' - the age and 'dark-eyed' - the colour.",word order,2, 901 ,1200 Grammer Tests
"_______ Himalayas, which are situated in South Asia, is one of the longest mountain ranges in the world.",2,-,the,a,an,We use 'the' before mountain ranges.,articles,2, 902 ,1200 Grammer Tests
She ____ (to be) a nice girl. But now she _____ (to be) so rude.,2,is  / has been,is / is being,is being / is,has been / is,"1. We use the Present Simple to talk about things in general, common regular situations and behaviour. 2. Some state verbs can be used in continuous form with the change of meaning: 'she is nice' is a personal characteristic / 'she is being rude' is her behaviour at the moment.",present tenses,2, 903 ,1200 Grammer Tests
When I ______ (to come) home I _______ (to see) nobody. It ______ (to seem) like everyone _______ (to go) not less than an hour before.,3,came / saw / seemed / went,had come / had seen / seemed / had gone,came / saw / seemed / had gone,was coming / saw / had seemed / had gone,We use the Past Simple Tense when we talk about actions which happened one after the other in the past: came - saw - seemed. 'Before' shows us that the last action happened some time earlier than actions in the first part. The Past Perfect helps us carry out this idea.,past tenses,2, 904 ,1200 Grammer Tests
"My luggage is too heavy. ______ (to help / you) me, please?",1,Will you help,Are you going to help,Do you help,Are you to help,We use the Future Simple Tense in requests.,future tenses,2, 905 ,1200 Grammer Tests
Transfer this Active Voice sentence into the Passive one: Romans used the Colloseum for gladiatorial contests and public spectacles.,4,The Colloseum used to be for gladiatorial contests and public spectacles.,The Colloseum used for gladiatorial contests and public spectacles.,The Colloseum had been used for gladiatorial contests and public spectacles.,The Colloseum was used for gladiatorial contests and public spectacles.,The correct form of the Past Simple Passive is performed in the answer 4. This tense is used for complete actions in the past.,passive voice,2, 906 ,1200 Grammer Tests
The team used a big tree ___ a shelter.,1,as,like,as if,such as,When we describe how we use something we take 'as'. 'Like' means 'similar to something'.,confusing words,2, 907 ,1200 Grammer Tests
"Hey you, Bart! Quit ______(to laze) and help me repair the gate!",2,going down,goofing off,dropping back,nodding off,"Phrasal verb 'to goof off' means 'do careless work, to laze'.",phrasal verbs,2, 908 ,1200 Grammer Tests
Choose  two forms of the verb 'to arise' according to the order: Past Simple - Past Participle,1,arose - arisen,arised - arisen,arase - arisen,arosed - arised,TO ARISE - AROSE - ARISEN,irragular verbs,2, 909 ,1200 Grammer Tests
_________ the weather forecasts the city was hit by huge snowstorm.,2,Therefore,Despite,However,Because,"When we want to show there is a surprising contrast between two statements in one sentence we use 'although, though, even though' and 'despite/in spite of + -ing/noun/pronoun'. Other given linking words do not relate to the meaning of the sentence.",linking words,2, 910 ,1200 Grammer Tests
Alison plaited her ________ hair.,4,long  red wavy,red long wavy,wavy long red,long wavy red,There is a certain word order in sentences with two or more adjectives: OPINION-SIZE-AGE-SHAPE-COLOUR-ORIGIN-MATERIAL-TYPE. Here: long (size) wavy (shape) red (colour) hair.,adjective,2, 911 ,1200 Grammer Tests
Fred broke a porcelain vase ________.,2,accidentful,accidentally,accidenty,accidental,"We use adverbs to describe time, degree, manner, etc. In other words adverbs help us get more information about the action or a place (where, when, how, how often, etc.) They are formed by adding '-ly' or '-ily' to the adjective. Some forms should be memorized: accidentally.",adverbs,2, 912 ,1200 Grammer Tests
He refused ________ (to tell) me the truth.,1,to tell,tell,tells,telling,Refuse requires the Infinitive. We cannot use the Gerund with this verb.,gerunds and infinitives,2, 913 ,1200 Grammer Tests
Do you know that water pollution is one of offences _____ the environment and that it is punished by law?,2,to,against,for,by,We should remember that some nouns are used with specific prepositions after them: 'offence against'.,noun pluse preposition,2, 914 ,1200 Grammer Tests
My brother graduated ___ the university two years ago.,4,out of,at,of,from,It is correct to say 'to graduate from'.,prepositions,2, 915 ,1200 Grammer Tests
Leo is excellent ____ playing chess.,3,in,on,at,with,We should remember that some adjectives are used with specific prepositions after them: 'excellent at'.,adjective pluse preposition,2, 916 ,1200 Grammer Tests
Akash lives in New Delhi. He is a _______ .,2,Delhian,Delhiite,Delhier,Delhi-sider,New Delhi (city) - Delhiite (a person who lives in New Delhi),nouns,2, 917 ,1200 Grammer Tests
Tara doesn’t speak French well. She knows only ____ expressions.,3,a lot of,a little,a few,many,A few is used before countable nouns. 'A little' - before uncountable nouns. 'Many' and 'a lot of' do not relate to the meaning of the sentence.,"some,any, a lot of , many , much ,etc..",2, 918 ,1200 Grammer Tests
